userId,result
1,"[593, 1704, 4993, 260, 750, 318, 4878, 4226, 2329, 1193]"
2,"[318, 858, 527, 1198, 2571, 50, 6, 1196, 1197, 1097]"
3,"[1200, 1193, 2959, 318, 1136, 858, 541, 593, 1214, 924]"
4,"[1136, 1193, 1234, 50, 1200, 608, 2858, 1704, 1213, 2762]"
5,"[527, 32, 1136, 1196, 1193, 318, 50, 608, 260, 457]"
6,"[318, 1136, 858, 608, 2571, 260, 5952, 593, 1240, 1214]"
7,"[1210, 50, 2571, 1197, 318, 1136, 912, 58559, 1193, 48516]"
8,"[318, 858, 1193, 1136, 1196, 47, 50, 593, 1704, 2959]"
9,"[1136, 2858, 608, 2571, 2959, 1196, 1221, 4226, 1222, 858]"
11,"[318, 4993, 2858, 296, 7153, 608, 3578, 5952, 1213, 2762]"
