userId,result
1,"[318, 1148, 541, 588, 4993, 4306, 2081, 1, 34, 720]"
2,"[356, 2959, 58559, 2571, 59315, 69844, 5418, 54286, 32, 858]"
3,"[32, 2762, 296, 2959, 2571, 1265, 2028, 50, 4226, 1080]"
4,"[111, 1252, 1193, 1208, 318, 858, 1233, 924, 1221, 1247]"
5,"[356, 161, 235, 32, 497, 454, 587, 377, 457, 480]"
6,"[364, 253, 10, 588, 1, 329, 648, 300, 587, 62]"
7,"[1198, 1036, 1387, 296, 1291, 608, 2028, 2571, 1221, 858]"
8,"[527, 595, 457, 318, 589, 260, 588, 1221, 1213, 150]"
9,"[1196, 589, 1210, 1291, 296, 8636, 1923, 1968, 32, 1036]"
10,"[318, 4886, 4973, 1721, 1, 364, 5418, 1196, 293, 527]"
11,"[318, 527, 858, 260, 377, 608, 2571, 590, 364, 454]"
12,"[356, 1380, 500, 377, 1210, 104, 1073, 919, 260, 1198]"
13,"[2959, 296, 1210, 4226, 1, 1196, 2762, 858, 1240, 2028]"
14,"[457, 364, 589, 161, 50, 1210, 260, 587, 780, 500]"
15,"[7153, 648, 4306, 589, 1291, 6539, 1196, 1580, 7361, 480]"
16,"[1200, 296, 1265, 551, 5669, 8961, 1206, 1080, 1258, 1580]"
17,"[2959, 5989, 59315, 364, 1213, 4011, 1580, 1200, 79132, 1]"
18,"[1073, 58559, 4022, 597, 1968, 2987, 1197, 1258, 1213, 60069]"
19,"[296, 1201, 50, 912, 1036, 2028, 1213, 750, 4226, 5952]"
20,"[356, 2959, 2858, 1270, 296, 1580, 47, 500, 608, 1265]"
21,"[356, 4306, 318, 3578, 4995, 60069, 260, 7153, 593, 6377]"
22,"[296, 50, 4973, 608, 1206, 2571, 1196, 1210, 2858, 593]"
23,"[356, 593, 7153, 2959, 2571, 2762, 5952, 2858, 527, 318]"
24,"[589, 1196, 4993, 1291, 5952, 1210, 59315, 1198, 47, 2762]"
25,"[1196, 1210, 50, 318, 356, 59315, 296, 260, 110, 2028]"
26,"[50, 480, 648, 593, 316, 161, 780, 527, 595, 110]"
