userId,result
1,"[1, 1197, 4226, 1291, 1968, 2918, 2329, 111, 3114, 2115]"
2,"[1210, 733, 653, 858, 832, 141, 1393, 7, 786, 628]"
3,"[32, 318, 858, 110, 260, 1265, 778, 1198, 1193, 1221]"
4,"[1208, 923, 1221, 750, 1198, 1234, 2858, 1304, 590, 1193]"
5,"[1210, 1196, 260, 1197, 296, 4993, 5618, 2858, 1198, 1265]"
6,"[296, 260, 1196, 50, 318, 356, 527, 1210, 2571, 4993]"
7,"[318, 4226, 480, 1270, 608, 50, 1, 457, 2762, 364]"
8,"[4306, 2762, 3578, 1580, 457, 593, 110, 1197, 1196, 1240]"
9,"[551, 292, 608, 1, 208, 595, 588, 364, 1291, 924]"
10,"[260, 527, 1, 110, 1196, 1097, 380, 1198, 588, 377]"
11,"[318, 110, 380, 47, 356, 457, 296, 3578, 442, 474]"
12,"[318, 260, 356, 1265, 1193, 296, 1196, 1210, 589, 2959]"
13,"[608, 260, 296, 318, 593, 1193, 2571, 2028, 1200, 1036]"
14,"[260, 1210, 858, 32, 1580, 1393, 778, 1500, 788, 805]"
15,"[858, 1200, 589, 2571, 47, 1214, 608, 1198, 4993, 1732]"
16,"[318, 150, 110, 1198, 590, 185, 1265, 1270, 300, 1240]"
17,"[1198, 1291, 1089, 1036, 4878, 1214, 2028, 527, 1197, 1240]"
18,"[593, 2858, 58559, 32, 260, 1198, 1210, 1136, 1196, 2329]"
19,"[318, 2571, 4973, 2959, 296, 47, 110, 6874, 293, 593]"
20,"[2571, 5418, 3578, 356, 7153, 5989, 44191, 33794, 54286, 318]"
21,"[356, 318, 4306, 1197, 2324, 1, 1270, 40815, 858, 480]"
22,"[318, 3578, 457, 593, 1036, 1258, 1097, 590, 1270, 110]"
23,"[527, 2028, 1198, 293, 2858, 1222, 296, 32, 608, 3578]"
24,"[608, 1947, 1204, 2028, 1193, 318, 2762, 50, 919, 1230]"
25,"[318, 50, 110, 527, 296, 1198, 1036, 1291, 2268, 1196]"
26,"[1198, 1265, 858, 1193, 318, 589, 260, 296, 1240, 1196]"
27,"[1196, 296, 527, 858, 2959, 1089, 50, 260, 1617, 1270]"
28,"[480, 110, 2762, 608, 296, 919, 2797, 2571, 2028, 47]"
29,"[2571, 1197, 7153, 1580, 6539, 34, 4306, 1527, 2115, 2011]"
30,"[1221, 4306, 1200, 377, 2858, 589, 593, 733, 10, 5445]"
31,"[356, 434, 539, 339, 231, 480, 527, 47, 50, 589]"
32,"[2028, 150, 1213, 110, 1094, 2858, 1200, 1393, 296, 318]"
33,"[2571, 318, 4993, 356, 1214, 2959, 2918, 457, 480, 296]"
34,"[50, 608, 296, 1196, 1214, 1198, 1213, 318, 2028, 1200]"
35,"[260, 1210, 1196, 541, 589, 1198, 1036, 32, 50, 110]"
36,"[296, 593, 480, 47, 377, 34, 208, 357, 367, 551]"
37,"[1250, 260, 1212, 1248, 356, 1270, 1617, 1387, 1208, 2762]"
38,"[110, 587, 457, 47, 1784, 2716, 1259, 597, 592, 339]"
39,"[1136, 50, 4226, 608, 4993, 2959, 858, 1, 2997, 541]"
40,"[318, 589, 2028, 50, 1196, 733, 377, 296, 1036, 380]"
41,"[1, 541, 593, 1196, 1291, 2571, 858, 1198, 150, 588]"
42,"[150, 1196, 588, 1265, 1270, 356, 1393, 2028, 1610, 4022]"
43,"[1704, 356, 50, 589, 778, 6, 260, 296, 2959, 2858]"
44,"[1270, 1259, 1580, 1097, 357, 110, 527, 2683, 1517, 2987]"
45,"[1198, 1206, 1210, 608, 1200, 2762, 1240, 1291, 1265, 2571]"
46,"[1221, 50, 1196, 1214, 1089, 1200, 2858, 1206, 1270, 2571]"
47,"[1198, 1210, 1240, 356, 590, 1036, 480, 589, 1213, 1200]"
48,"[296, 608, 541, 32, 50, 593, 1222, 110, 318, 1196]"
49,"[356, 1097, 2028, 1196, 1198, 1270, 150, 527, 593, 1214]"
